date,holiday_name,region,is_holiday
2024-07-12,Christmas,Global,1
2024-02-03,Black Friday,Retail,1
2024-01-16,Christmas,Global,1
2024-11-05,New Year,Global,1
2024-02-27,Labor Day,US,1
2024-07-02,Labor Day,US,1
2024-03-17,Christmas,Global,1
2024-04-29,Thanksgiving,US,1
2024-06-01,Christmas,Global,1
2024-05-06,Independence Day,US,1
2024-12-04,Independence Day,US,1
2024-02-09,Labor Day,US,1
2024-10-31,Thanksgiving,US,1
2024-02-25,New Year,Global,1
2024-05-17,Independence Day,US,1
2024-10-27,Labor Day,US,1
2024-01-01,Black Friday,Retail,1
2024-10-02,Labor Day,US,1
