promotion_id,product_id,start_offset,duration_days,discount_pct
PR15795,P00361,102,7,0.17
PR76820,P00073,71,9,0.28
PR37194,P00374,214,5,0.45
PR60263,P00155,99,5,0.11
PR59735,P00104,257,6,0.48
PR83104,P00394,191,6,0.34
PR93016,P00377,252,3,0.31
PR18431,P00124,169,6,0.49
PR65725,P00068,270,8,0.41
PR67435,P00450,50,9,0.49
PR69092,P00009,130,5,0.37
PR80038,P00194,328,4,0.48
PR73969,P00406,315,4,0.22
PR23483,P00084,52,9,0.34
PR80077,P00371,263,3,0.2
PR66557,P00388,1,8,0.18
PR40757,P00495,259,7,0.49
PR71211,P00030,217,4,0.26
PR32606,P00316,269,9,0.14
PR91387,P00408,214,3,0.48
PR23247,P00490,212,7,0.21
PR86807,P00491,52,4,0.49
PR8571,P00280,187,7,0.16
PR61228,P00356,14,3,0.11
PR62592,P00076,8,6,0.22
PR5258,P00461,62,5,0.38
PR61858,P00497,162,3,0.34
PR64505,P00211,230,3,0.47
PR30535,P00101,200,6,0.23
PR35222,P00334,47,8,0.23
PR84651,P00475,98,8,0.45
PR8110,P00336,226,8,0.44
PR98806,P00440,4,9,0.2
PR206,P00173,282,9,0.14
PR50015,P00002,178,9,0.29
PR87939,P00333,95,8,0.16
PR56044,P00409,230,9,0.4
PR55820,P00070,35,9,0.22
PR22299,P00209,85,4,0.35
PR49080,P00063,61,7,0.45
PR69163,P00384,27,6,0.46
PR18047,P00093,330,4,0.15
PR23776,P00485,230,3,0.19
PR92787,P00185,120,7,0.44
PR21959,P00033,197,5,0.27
PR97504,P00077,164,5,0.21
PR34766,P00000,151,5,0.23
PR68840,P00011,95,6,0.25
PR83211,P00415,51,8,0.38
PR67172,P00022,112,3,0.5
PR26736,P00072,186,4,0.3
PR854,P00182,53,7,0.24
PR87092,P00131,125,6,0.28
PR87455,P00410,197,9,0.37
PR12688,P00193,202,9,0.42
PR52083,P00055,324,4,0.35
PR22671,P00148,239,3,0.16
PR51663,P00018,186,7,0.44
PR56250,P00204,251,6,0.11
PR11411,P00078,146,9,0.17
PR88614,P00494,127,4,0.44
PR8155,P00262,266,3,0.15
PR21918,P00323,150,8,0.38
PR46843,P00483,262,4,0.49
PR2049,P00079,59,3,0.14
PR20932,P00039,139,7,0.45
PR7400,P00451,8,5,0.38
PR66690,P00046,207,6,0.45
PR59040,P00238,119,6,0.13
PR61267,P00391,103,8,0.1
PR2200,P00352,98,7,0.21
PR77505,P00341,337,8,0.28
PR94179,P00277,168,3,0.11
PR86831,P00290,276,6,0.25
PR99522,P00317,134,3,0.22
PR70091,P00304,175,5,0.25
PR6893,P00268,21,8,0.49
PR76213,P00069,50,5,0.27
PR54045,P00455,276,3,0.33
PR74543,P00465,316,5,0.33
PR73744,P00154,191,6,0.48
PR36212,P00082,45,8,0.25
PR33828,P00477,232,7,0.27
PR66235,P00172,180,3,0.13
PR6102,P00321,252,3,0.23
PR26641,P00090,127,3,0.26
PR66105,P00180,53,5,0.33
PR72991,P00414,279,9,0.5
PR82074,P00312,126,4,0.45
PR27751,P00278,272,3,0.15
PR54748,P00381,245,4,0.42
PR50993,P00472,354,3,0.34
PR87545,P00362,315,9,0.3
PR2368,P00324,172,8,0.42
PR13403,P00431,142,4,0.14
PR99157,P00347,214,5,0.29
PR50300,P00086,62,8,0.34
PR31024,P00075,341,6,0.12
PR95285,P00438,270,5,0.15
PR19508,P00015,263,6,0.19
PR87142,P00249,4,6,0.44
PR69678,P00433,349,5,0.35
PR94476,P00019,307,4,0.31
PR91794,P00322,157,3,0.26
PR28251,P00332,274,4,0.13
PR32217,P00056,228,7,0.13
PR89480,P00301,126,6,0.26
PR94841,P00229,57,3,0.28
PR7805,P00331,95,8,0.39
PR3343,P00132,236,7,0.4
PR59638,P00137,68,5,0.2
PR69042,P00423,143,7,0.15
PR61389,P00335,284,6,0.12
PR95981,P00025,93,8,0.38
PR43919,P00464,203,4,0.41
PR94758,P00281,340,6,0.17
PR26646,P00247,221,4,0.35
PR97379,P00237,324,4,0.2
PR9823,P00117,249,3,0.32
PR27663,P00042,3,9,0.48
PR60890,P00220,159,6,0.33
PR11938,P00176,177,6,0.15
PR93610,P00320,178,7,0.35
PR38304,P00153,64,4,0.18
PR86027,P00231,284,9,0.25
PR92658,P00227,252,4,0.37
PR94297,P00417,336,7,0.44
PR76797,P00203,89,4,0.2
PR82745,P00126,195,7,0.24
PR412,P00329,74,6,0.27
PR44425,P00031,248,7,0.4
PR83042,P00113,191,6,0.25
PR59031,P00470,95,9,0.47
PR44811,P00271,36,3,0.37
PR68450,P00140,278,3,0.25
PR41555,P00057,61,3,0.23
PR39954,P00192,186,3,0.12
PR24466,P00024,232,6,0.24
PR82637,P00017,283,9,0.48
PR60921,P00265,338,9,0.13
PR89112,P00066,68,6,0.37
PR60566,P00208,52,3,0.15
PR21545,P00479,180,4,0.12
PR9348,P00094,222,5,0.46
PR89930,P00253,234,4,0.49
PR23625,P00266,8,4,0.35
PR44261,P00023,252,9,0.27
PR39081,P00222,167,3,0.43
PR83460,P00261,121,7,0.13
PR28295,P00426,338,7,0.25
