store_id,store_type,city,state,region,size_sqft,footfall_multiplier,avg_transaction_value,open_24x7,demand_volatility,opening_year
S0000,COLLEGE,Boston,Massachusetts,EAST,4572,1.96,13.92,0,0.45,2022
S0001,HIGHWAY,Phoenix,Arizona,WEST,930,1.22,24.4,1,0.5,2020
S0002,DOWNTOWN,Chicago,Illinois,CENTRAL,1984,1.8,15.5,0,0.35,2015
S0003,HIGHWAY,Miami,Florida,EAST,2847,1.49,12.33,0,0.5,2017
S0004,RESIDENTIAL,Seattle,Washington,WEST,2328,0.82,17.15,0,0.15,2021
S0005,SUBURBAN,Chicago,Illinois,CENTRAL,3163,1.24,12.71,0,0.2,2016
S0006,DOWNTOWN,Seattle,Washington,WEST,2278,2.11,21.66,0,0.35,2015
S0007,DOWNTOWN,Seattle,Washington,WEST,3873,1.93,9.16,0,0.35,2016
S0008,RESIDENTIAL,Chicago,Illinois,CENTRAL,2781,1.26,19.55,0,0.15,2021
S0009,AIRPORT,Seattle,Washington,WEST,1137,3.04,16.74,1,0.2,2023
S0010,HIGHWAY,Seattle,Washington,WEST,1292,1.34,21.04,0,0.5,2021
S0011,DOWNTOWN,Houston,Texas,CENTRAL,2295,1.51,8.98,1,0.35,2017
S0012,AIRPORT,Austin,Texas,CENTRAL,3078,3.15,23.3,1,0.2,2023
S0013,RESIDENTIAL,Denver,Colorado,WEST,3904,0.83,11.22,0,0.15,2017
S0014,HIGHWAY,Seattle,Washington,WEST,2370,1.67,7.39,1,0.5,2015
S0015,HIGHWAY,Phoenix,Arizona,WEST,1670,1.24,19.21,0,0.5,2017
S0016,SUBURBAN,Boston,Massachusetts,EAST,1363,1.24,18.91,0,0.2,2021
S0017,RESIDENTIAL,Phoenix,Arizona,WEST,1859,1.27,16.98,0,0.15,2016
S0018,COLLEGE,Chicago,Illinois,CENTRAL,3860,2.26,21.07,0,0.45,2021
S0019,RESIDENTIAL,Seattle,Washington,WEST,3037,0.86,9.56,0,0.15,2018
S0020,SUBURBAN,Phoenix,Arizona,WEST,1509,1.21,13.35,0,0.2,2017
S0021,RESIDENTIAL,Chicago,Illinois,CENTRAL,2798,0.88,9.38,0,0.15,2018
S0022,SUBURBAN,Dallas,Texas,CENTRAL,2091,1.05,14.94,0,0.2,2015
S0023,AIRPORT,Denver,Colorado,WEST,2960,3.48,13.22,1,0.2,2021
S0024,RESIDENTIAL,Phoenix,Arizona,WEST,4274,1.14,15.62,0,0.15,2020
S0025,HIGHWAY,Denver,Colorado,WEST,4310,1.96,9.75,1,0.5,2022
S0026,HIGHWAY,Phoenix,Arizona,WEST,997,1.6,21.33,1,0.5,2023
S0027,RESIDENTIAL,Seattle,Washington,WEST,3311,0.82,16.82,0,0.15,2017
S0028,RESIDENTIAL,Chicago,Illinois,CENTRAL,946,0.97,6.92,1,0.15,2022
S0029,RESIDENTIAL,Denver,Colorado,WEST,3719,0.87,11.82,0,0.15,2021
S0030,SUBURBAN,Boston,Massachusetts,EAST,1062,1.3,21.34,0,0.2,2015
S0031,SUBURBAN,Chicago,Illinois,CENTRAL,4523,1.23,22.65,0,0.2,2023
S0032,COLLEGE,Miami,Florida,EAST,3055,2.29,22.74,1,0.45,2022
S0033,AIRPORT,Seattle,Washington,WEST,2245,3.17,16.61,1,0.2,2023
S0034,SUBURBAN,Miami,Florida,EAST,3761,1.0,15.97,0,0.2,2023
S0035,COLLEGE,Seattle,Washington,WEST,2100,1.5,12.33,1,0.45,2017
S0036,RESIDENTIAL,Houston,Texas,CENTRAL,1754,0.98,10.3,0,0.15,2020
S0037,RESIDENTIAL,Atlanta,Georgia,EAST,3285,1.25,13.69,0,0.15,2015
S0038,HIGHWAY,Seattle,Washington,WEST,3867,1.92,10.62,0,0.5,2015
S0039,DOWNTOWN,Denver,Colorado,WEST,2043,1.97,10.59,1,0.35,2023
S0040,SUBURBAN,Phoenix,Arizona,WEST,1101,1.48,24.27,1,0.2,2019
S0041,SUBURBAN,Denver,Colorado,WEST,4127,1.19,12.45,0,0.2,2020
S0042,SUBURBAN,Chicago,Illinois,CENTRAL,3533,0.96,17.3,1,0.2,2016
S0043,RESIDENTIAL,Boston,Massachusetts,EAST,2209,0.96,21.97,0,0.15,2020
S0044,HIGHWAY,Denver,Colorado,WEST,3606,1.62,10.12,0,0.5,2021
S0045,DOWNTOWN,Houston,Texas,CENTRAL,4647,2.2,20.92,1,0.35,2021
S0046,RESIDENTIAL,Boston,Massachusetts,EAST,3574,1.14,11.56,0,0.15,2020
S0047,SUBURBAN,Chicago,Illinois,CENTRAL,2515,0.92,11.07,0,0.2,2019
S0048,DOWNTOWN,Houston,Texas,CENTRAL,804,1.96,21.84,0,0.35,2017
S0049,DOWNTOWN,Boston,Massachusetts,EAST,1435,2.21,5.82,0,0.35,2017
S0050,COLLEGE,Seattle,Washington,WEST,2169,1.33,24.25,1,0.45,2023
S0051,RESIDENTIAL,Seattle,Washington,WEST,1881,1.26,13.85,0,0.15,2020
S0052,DOWNTOWN,Denver,Colorado,WEST,4143,2.02,18.14,0,0.35,2021
S0053,DOWNTOWN,Miami,Florida,EAST,2479,1.66,7.4,0,0.35,2019
S0054,AIRPORT,Boston,Massachusetts,EAST,3859,2.68,5.34,1,0.2,2019
S0055,RESIDENTIAL,Boston,Massachusetts,EAST,2557,1.12,5.96,1,0.15,2018
S0056,DOWNTOWN,Chicago,Illinois,CENTRAL,4530,2.0,22.13,0,0.35,2018
S0057,AIRPORT,Denver,Colorado,WEST,1695,3.14,21.02,1,0.2,2016
S0058,HIGHWAY,Miami,Florida,EAST,4800,2.01,21.41,0,0.5,2015
S0059,DOWNTOWN,Dallas,Texas,CENTRAL,3244,1.71,12.55,0,0.35,2016
S0060,RESIDENTIAL,Miami,Florida,EAST,4985,0.96,21.9,0,0.15,2016
