date,city,temperature,rainfall,humidity
2024-01-01,Boston,17.31,3.59,65.58
2024-01-02,Boston,21.73,0.0,49.5
2024-01-03,Boston,18.74,0.0,10.0
2024-01-04,Boston,21.95,6.08,29.52
2024-01-05,Boston,19.37,0.0,45.93
2024-01-06,Boston,16.12,0.0,71.95
2024-01-07,Boston,25.68,3.97,62.44
2024-01-08,Boston,19.71,0.0,78.95
2024-01-09,Boston,21.49,0.0,39.57
2024-01-10,Boston,20.75,0.0,59.89
2024-01-11,Boston,20.79,3.95,34.7
2024-01-12,Boston,23.6,15.89,83.87
2024-01-13,Boston,22.02,6.41,39.82
2024-01-14,Boston,18.58,5.87,49.24
2024-01-15,Boston,19.22,0.0,37.39
2024-01-16,Boston,22.35,4.91,77.75
2024-01-17,Boston,24.04,5.77,55.86
2024-01-18,Boston,21.17,0.0,81.99
2024-01-19,Boston,22.22,0.0,83.59
2024-01-20,Boston,20.94,6.17,65.93
2024-01-21,Boston,20.82,1.62,79.46
2024-01-22,Boston,24.65,9.48,66.76
2024-01-23,Boston,29.96,0.0,52.03
2024-01-24,Boston,23.26,0.0,80.85
2024-01-25,Boston,25.34,2.1,49.31
2024-01-26,Boston,20.7,0.0,74.87
2024-01-27,Boston,23.42,0.0,70.03
2024-01-28,Boston,26.32,3.29,66.29
2024-01-29,Boston,26.89,2.88,53.81
2024-01-30,Boston,25.65,0.72,52.64
2024-01-31,Boston,27.0,0.54,10.0
2024-02-01,Boston,25.29,0.02,54.22
2024-02-02,Boston,25.65,1.17,64.3
2024-02-03,Boston,20.84,0.0,88.08
2024-02-04,Boston,24.99,0.0,38.55
2024-02-05,Boston,23.19,2.51,51.35
2024-02-06,Boston,23.99,2.02,69.56
2024-02-07,Boston,24.93,0.0,51.57
2024-02-08,Boston,26.26,1.96,75.35
2024-02-09,Boston,23.42,0.0,75.46
2024-02-10,Boston,24.25,8.92,88.1
2024-02-11,Boston,28.76,0.0,61.54
2024-02-12,Boston,25.12,6.62,94.13
2024-02-13,Boston,27.98,2.05,52.69
2024-02-14,Boston,27.66,0.0,70.73
2024-02-15,Boston,24.65,5.1,56.78
2024-02-16,Boston,25.82,0.0,52.87
2024-02-17,Boston,27.83,7.22,70.53
2024-02-18,Boston,29.56,14.7,53.51
2024-02-19,Boston,26.53,0.0,83.81
2024-02-20,Boston,29.66,0.0,72.35
2024-02-21,Boston,29.6,3.13,76.95
2024-02-22,Boston,27.62,0.0,80.99
2024-02-23,Boston,30.03,5.67,40.91
2024-02-24,Boston,25.98,0.0,75.4
2024-02-25,Boston,30.12,4.12,78.81
2024-02-26,Boston,25.94,2.73,32.6
2024-02-27,Boston,26.23,6.39,55.21
2024-02-28,Boston,30.28,4.69,100.0
2024-02-29,Boston,28.14,0.0,59.31
2024-03-01,Boston,26.11,6.89,60.84
2024-03-02,Boston,27.85,1.38,74.81
2024-03-03,Boston,27.3,5.89,80.91
2024-03-04,Boston,27.6,0.0,49.74
2024-03-05,Boston,29.78,2.46,72.6
2024-03-06,Boston,31.96,3.15,43.82
2024-03-07,Boston,30.62,2.26,77.45
2024-03-08,Boston,30.71,0.0,87.64
2024-03-09,Boston,30.45,0.0,66.09
2024-03-10,Boston,29.22,2.12,77.44
2024-03-11,Boston,31.64,2.04,86.62
2024-03-12,Boston,30.8,3.16,63.52
2024-03-13,Boston,26.57,0.0,63.3
2024-03-14,Boston,27.21,1.8,49.31
2024-03-15,Boston,25.4,3.79,51.71
2024-03-16,Boston,29.18,0.0,53.3
2024-03-17,Boston,32.18,2.64,70.99
2024-03-18,Boston,26.56,13.95,96.87
2024-03-19,Boston,31.87,6.14,60.3
2024-03-20,Boston,30.06,7.24,47.43
2024-03-21,Boston,28.32,0.0,44.56
2024-03-22,Boston,32.56,0.33,53.64
2024-03-23,Boston,29.9,0.0,78.91
2024-03-24,Boston,31.82,3.89,93.03
2024-03-25,Boston,26.65,11.22,45.39
2024-03-26,Boston,26.76,0.81,97.44
2024-03-27,Boston,29.3,0.0,34.1
2024-03-28,Boston,29.14,0.0,34.0
2024-03-29,Boston,32.44,8.62,57.43
2024-03-30,Boston,28.43,2.29,100.0
2024-03-31,Boston,30.17,6.55,55.95
2024-04-01,Boston,29.48,5.24,62.52
2024-04-02,Boston,25.56,8.4,47.7
2024-04-03,Boston,33.57,5.43,61.42
2024-04-04,Boston,30.22,1.46,50.27
2024-04-05,Boston,29.75,6.42,50.71
2024-04-06,Boston,28.07,0.22,79.04
2024-04-07,Boston,32.2,3.81,71.63
2024-04-08,Boston,28.02,6.38,71.03
2024-04-09,Boston,27.83,0.0,35.59
2024-04-10,Boston,27.88,7.81,91.06
2024-04-11,Boston,28.31,0.0,65.23
2024-04-12,Boston,29.18,6.65,49.54
2024-04-13,Boston,31.02,0.8,77.08
2024-04-14,Boston,28.54,0.0,98.25
2024-04-15,Boston,31.17,0.0,51.06
2024-04-16,Boston,31.41,0.0,75.41
2024-04-17,Boston,30.28,0.0,59.82
2024-04-18,Boston,24.72,10.85,53.82
2024-04-19,Boston,30.45,5.07,87.16
2024-04-20,Boston,27.92,3.02,71.18
2024-04-21,Boston,30.48,7.77,50.45
2024-04-22,Boston,27.34,8.8,19.26
2024-04-23,Boston,31.75,0.49,59.91
2024-04-24,Boston,27.17,1.76,85.42
2024-04-25,Boston,30.01,4.46,61.78
2024-04-26,Boston,25.51,0.0,53.14
2024-04-27,Boston,29.24,2.35,79.67
